"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.983440820E-1,5.753256083E-1,-7.887670040E0,6.262316704E0,1.008776232E1
6.007490820E-1,6.208134890E-1,-7.866122723E0,5.778708935E0,9.780325814E0
6.031545510E-1,5.944783688E-1,-7.875699520E0,6.298228264E0,1.010186749E1
6.055602800E-1,6.423603296E-1,-7.861334324E0,5.972630978E0,9.893711383E0
6.079657490E-1,6.423603296E-1,-7.832605362E0,6.022907257E0,9.901401182E0
6.103713740E-1,6.495426893E-1,-7.827817440E0,6.322169304E0,1.008297854E1
6.127770510E-1,6.639072895E-1,-7.806270123E0,5.826591015E0,9.763595084E0
6.151829360E-1,6.375721693E-1,-7.815846920E0,6.331746101E0,1.007893695E1
6.175884570E-1,6.663013697E-1,-7.808664322E0,5.943902016E0,9.836115452E0
6.199939260E-1,6.591190100E-1,-7.791905880E0,6.054030418E0,9.889363954E0
6.224001240E-1,6.902424097E-1,-7.787117481E0,6.288652420E0,1.003308440E1
6.248055920E-1,6.974246502E-1,-7.758388519E0,5.833773613E0,9.732004322E0
6.272108530E-1,6.686954498E-1,-7.803876400E0,6.377233982E0,1.010033434E1
6.296166340E-1,6.878482103E-1,-7.755994320E0,5.900808334E0,9.769755475E0
6.320225200E-1,6.639072895E-1,-7.806270123E0,6.085154057E0,9.920066835E0
6.344287170E-1,6.567250490E-1,-7.801481724E0,6.166553020E0,9.965981188E0
6.368346550E-1,6.734837294E-1,-7.799088001E0,5.781103611E0,9.731418856E0
6.392402280E-1,6.256016493E-1,-7.808664322E0,6.341322422E0,1.007864009E1
6.416464780E-1,6.208134890E-1,-7.791905880E0,5.852926254E0,9.765037244E0
6.440522590E-1,5.920842886E-1,-7.827817440E0,6.161765099E0,9.979611155E0
6.464576240E-1,5.896902084E-1,-7.837393284E0,6.164158821E0,9.988459441E0
6.488631970E-1,5.609610081E-1,-7.832605362E0,5.872078896E0,9.805391097E0
6.512685610E-1,5.561728477E-1,-7.856546402E0,6.382021904E0,1.013730009E1
6.536743950E-1,5.992666483E-1,-7.827817440E0,5.826591015E0,9.776656343E0
6.560800720E-1,5.609610081E-1,-7.849363804E0,6.212040901E0,1.002579880E1
6.584855920E-1,5.705374479E-1,-7.830211163E0,6.142611980E0,9.968420224E0
6.608918950E-1,5.896902084E-1,-7.844575882E0,5.915173054E0,9.842478223E0
6.632976760E-1,5.753256083E-1,-7.854152203E0,6.367657185E0,1.012747572E1
6.657030400E-1,6.064488888E-1,-7.815846920E0,5.814620495E0,9.760381900E0
6.681088220E-1,6.016607285E-1,-7.827817440E0,6.149794579E0,9.972797745E0
6.705147590E-1,5.968724489E-1,-7.844575882E0,6.125853539E0,9.970943238E0
6.729212700E-1,5.944783688E-1,-7.827817440E0,6.104306221E0,9.944379561E0
6.753271550E-1,6.232075691E-1,-7.815846920E0,6.082759857E0,9.923498286E0
6.777325200E-1,6.064488888E-1,-7.820634842E0,6.118670940E0,9.948278427E0
6.801386130E-1,6.303899288E-1,-7.823029041E0,6.121065617E0,9.953121075E0
6.825438740E-1,6.040548086E-1,-7.815846920E0,6.109095097E0,9.938480175E0
6.849487700E-1,6.184194088E-1,-7.815846920E0,6.116276741E0,9.943779302E0
6.873543950E-1,6.256016493E-1,-7.787117481E0,6.094730377E0,9.908396160E0
6.897602800E-1,6.279958487E-1,-7.842181683E0,6.085154057E0,9.946018913E0
6.921667380E-1,6.208134890E-1,-7.815846920E0,6.130641460E0,9.952770327E0
6.945725200E-1,5.992666483E-1,-7.832605362E0,6.097124577E0,9.944031143E0
6.969776240E-1,5.944783688E-1,-7.830211163E0,6.077971458E0,9.930123284E0
6.993835610E-1,6.040548086E-1,-7.820634842E0,6.075577259E0,9.921685874E0
7.017890300E-1,5.968724489E-1,-7.832605362E0,6.056424141E0,9.918983660E0
7.041942900E-1,5.968724489E-1,-7.830211163E0,6.080365181E0,9.931732191E0
7.066001240E-1,6.160253286E-1,-7.844575882E0,6.094730377E0,9.953019459E0
7.090061650E-1,5.849020481E-1,-7.832605362E0,6.061213017E0,9.921195512E0
7.114125200E-1,6.112370491E-1,-7.844575882E0,6.051636219E0,9.926393223E0
7.138180400E-1,6.040548086E-1,-7.837393284E0,6.039665699E0,9.912980251E0
7.162228840E-1,6.327840090E-1,-7.811058521E0,6.073183537E0,9.914464640E0
